FY,SIC,EMPLOYEES,PRODUCTS,PRODHOURS,E2_plant_cost,E2_plant_usage,E2 in joule,kWh,KW,MW,Category
2003.0,3365.0,392.0,"Aluminum cylinder heads, pistons and water passages",7200.0,867604.0,159122.0,168000000000000.0,46634054.83,6476.952059,6.476952059,Vehicle Manufacturing Oven
1997.0,2869.0,200.0,organic chemicals,8500.0,590298.0,158619.0,167000000000000.0,46486640.08,5469.01648,5.46901648,Chemicals Dryer
1997.0,2869.0,200.0,organic chemicals,8500.0,590298.0,158619.0,167000000000000.0,46486640.08,5469.01648,5.46901648,Chemicals Dryer
1998.0,3462.0,90.0,"Steel forging, rough machining, and heat treating",4590.0,589484.0,157984.0,167000000000000.0,46300539.95,10087.26361,10.08726361,Vehicle Manufacturing Oven
2006.0,2843.0,48.0,"Hydrotope, sulfonic acids",8400.0,1182859.0,156798.0,165000000000000.0,45952957.66,5470.590198,5.470590198,Chemicals Dryer
1983.0,3355.0,150.0,ALUMINUM BILLETS,4160.0,675520.0,153376.0,162000000000000.0,44950068.46,10805.30492,10.80530492,Vehicle Manufacturing Oven
2003.0,3411.0,118.0,Aluminum beverage cans,8568.0,761108.0,148860.0,157000000000000.0,43626559.51,5091.801996,5.091801996,F&D Boiler
2015.0,3795.0,450.0,Defense Combat Vehicles,2125.0,662576.0,146030.0,154000000000000.0,42797168.38,20139.84394,20.13984394,Vehicle Manufacturing Oven
2015.0,3795.0,450.0,Defense Combat Vehicles,2125.0,662576.0,146030.0,154000000000000.0,42797168.38,20139.84394,20.13984394,Vehicle Manufacturing Oven
2013.0,3795.0,550.0,Defense Combat Vehicles,2125.0,662576.0,145461.0,153000000000000.0,42630410.94,20061.36985,20.06136985,Vehicle Manufacturing Oven
2013.0,3795.0,550.0,Defense Combat Vehicles,2125.0,662576.0,145461.0,153000000000000.0,42630410.94,20061.36985,20.06136985,Vehicle Manufacturing Oven
1991.0,2821.0,130.0,FIBERGLASS PANEL,6000.0,361083.0,144998.0,153000000000000.0,42494719.03,7082.453172,7.082453172,Glass Furnace
2004.0,2052.0,240.0,Pretzels and Corn Extruded Products,6490.0,780411.0,143968.0,152000000000000.0,42192855.83,6501.210452,6.501210452,F&D Boiler
1989.0,2899.0,88.0,PORCELAIN ENAMEL FEEDSTOCK,6000.0,430024.0,138038.0,146000000000000.0,40454944.38,6742.490731,6.742490731,Glass Furnace
1984.0,2672.0,371.0,COATED PAPERS,7500.0,738910.0,135961.0,143000000000000.0,39846235.77,5312.831436,5.312831436,Chemicals Dryer
2016.0,3069.0,300.0,"Rubber tiles, tread, and wall base",6528.0,712648.0,132796.0,140000000000000.0,38918665.83,5961.805428,5.961805428,Chemicals Dryer
2006.0,3398.0,26.0,Thermal Processing / Heat Treating,8760.0,1180849.0,132583.0,140000000000000.0,38856241.7,4435.644029,4.435644029,Vehicle Manufacturing Oven
1989.0,3548.0,375.0,WELDING CONSUMABLES,6000.0,546095.0,130023.0,137000000000000.0,38105979.76,6350.996626,6.350996626,Vehicle Manufacturing Oven
2013.0,2013.0,400.0,"Bacon, Meatballs",7344.0,554744.0,129035.0,136000000000000.0,37816425.54,5149.295417,5.149295417,F&D Boiler
1986.0,2816.0,200.0,PIGMENTS FOR INK,8400.0,599149.0,127555.0,135000000000000.0,37382680.36,4450.31909,4.45031909,Ceramics Kiln
2017.0,3061.0,368.0,Thermoset for Heavy Trucking,6000.0,457010.0,124900.0,132000000000000.0,36604576.66,6100.762777,6.100762777,Vehicle Manufacturing Oven
2024.0,3069.0,110.0,"Fabricated rubber Products, Not Elsewhere Classified",6000.0,553772.0,124152.0,131000000000000.0,36385359.5,6064.226584,6.064226584,Chemicals Dryer
2005.0,3316.0,160.0,Electroplated and coated steel,4800.0,524089.0,122265.0,129000000000000.0,35832334.39,7465.069666,7.465069666,Vehicle Manufacturing Oven
2024.0,2099.0,500.0,Food Manufacturing,6240.0,521925.0,119099.0,126000000000000.0,34904471.39,5593.665286,5.593665286,F&D Boiler
2005.0,3363.0,208.0,Aluminum and zinc die castings,4050.0,1110171.0,118841.0,125000000000000.0,34828859.05,8599.718284,8.599718284,Vehicle Manufacturing Oven
2000.0,3363.0,318.0,aluminum die castings,8400.0,449183.0,117763.0,124000000000000.0,34512928.44,4108.681957,4.108681957,Vehicle Manufacturing Oven
2000.0,3363.0,318.0,aluminum die castings,8400.0,449183.0,117763.0,124000000000000.0,34512928.44,4108.681957,4.108681957,Vehicle Manufacturing Oven
2013.0,2819.0,50.0,Activated Carbon,8760.0,425139.0,116168.0,123000000000000.0,34045480.08,3886.470329,3.886470329,Chemicals Dryer
1999.0,3365.0,300.0,Aluminum castings,3920.0,362868.0,111686.0,118000000000000.0,32731935.54,8349.983557,8.349983557,Vehicle Manufacturing Oven
1999.0,3365.0,300.0,Aluminum castings,3920.0,362868.0,111686.0,118000000000000.0,32731935.54,8349.983557,8.349983557,Vehicle Manufacturing Oven
1996.0,2952.0,120.0,residential roofing,8500.0,271801.0,109909.0,116000000000000.0,32211148.25,3789.546853,3.789546853,Chemicals Dryer
2003.0,3325.0,114.0,Stainless steel / nickel base pump & valves castings,5250.0,611730.0,109055.0,115000000000000.0,31960865.56,6087.783916,6.087783916,Vehicle Manufacturing Oven
2018.0,4952.0,45.0,Wastewater Treatment,8736.0,494516.0,108488.0,114000000000000.0,31794694.26,3639.502548,3.639502548,Chemicals Dryer
2018.0,4952.0,45.0,Wastewater Treatment,8736.0,494516.0,108488.0,114000000000000.0,31794694.26,3639.502548,3.639502548,Chemicals Dryer
2018.0,4952.0,45.0,Wastewater Treatment,8736.0,494516.0,108488.0,114000000000000.0,31794694.26,3639.502548,3.639502548,Chemicals Dryer
1997.0,3089.0,300.0,"Plastic Products, toy balls",6480.0,355377.0,107888.0,114000000000000.0,31618851.62,4879.45241,4.87945241,Chemicals Dryer
2012.0,2082.0,110.0,beer,8400.0,496353.0,103893.0,110000000000000.0,30448032.69,3624.765797,3.624765797,F&D Boiler
2012.0,2082.0,110.0,beer,8400.0,496353.0,103893.0,110000000000000.0,30448032.69,3624.765797,3.624765797,F&D Boiler
2009.0,2679.0,160.0,Parchment and converting paper,7200.0,1204727.0,102506.0,108000000000000.0,30041543.12,4172.436544,4.172436544,Chemicals Dryer
2011.0,3089.0,500.0,"Hydraulic hose, fittings,couplings",6000.0,554732.0,100050.0,106000000000000.0,29321760.57,4886.960095,4.886960095,Vehicle Manufacturing Oven
1985.0,3412.0,200.0,RECONDITIONED STEELDRUMS,3120.0,490835.0,98569.0,104000000000000.0,28887722.32,9258.885358,9.258885358,Vehicle Manufacturing Oven
2014.0,3297.0,50.0,Quartz Tube,8760.0,578072.0,97823.0,103000000000000.0,28669091.3,3272.727317,3.272727317,Glass Furnace
2011.0,2032.0,365.0,Packaged Food,6000.0,616722.0,96888.0,102000000000000.0,28395069.85,4732.511641,4.732511641,F&D Boiler
2002.0,3259.0,91.0,"Acid proof ceramics, Steel liners and packing",7488.0,557323.0,96646.0,102000000000000.0,28324146.65,3782.605054,3.782605054,Ceramics Kiln
2016.0,3444.0,470.0,Metal Forming and Coating,6600.0,443446.0,95373.0,101000000000000.0,27951067.18,4235.010178,4.235010178,Vehicle Manufacturing Oven
2017.0,3495.0,96.0,Automotive Coil Springs,7200.0,369380.0,94640.0,99900000000000.0,27736246.08,3852.2564,3.8522564,Vehicle Manufacturing Oven
1983.0,2851.0,230.0,COATINGS FOR PACKAGING,6000.0,499631.0,93066.0,98200000000000.0,27274952.22,4545.825369,4.545825369,Vehicle Manufacturing Oven
2023.0,3469.0,330.0,Appliance control panels and semi-truck bumpers,6600.0,674757.0,92276.0,97400000000000.0,27043426.07,4097.488799,4.097488799,Vehicle Manufacturing Oven
1982.0,2841.0,400.0,SOAP AND SYNTHETICS,2080.0,316008.0,89423.0,94300000000000.0,26207294.31,12599.66073,12.59966073,Chemicals Dryer
2019.0,2013.0,400.0,Prepared Meat Products,7488.0,417777.0,88190.0,93000000000000.0,25845937.68,3451.64766,3.45164766,F&D Boiler
1987.0,3471.0,120.0,ALUMINUM BUMPERS,4200.0,460300.0,88050.0,92900000000000.0,25804907.73,6144.02565,6.14402565,Vehicle Manufacturing Oven
1985.0,3479.0,165.0,REFRACTORY PRODUCTS,6000.0,486720.0,87871.0,92700000000000.0,25752448.01,4292.074668,4.292074668,Ceramics Kiln
2004.0,3999.0,675.0,Glass and candle products,6864.0,629359.0,87143.0,91900000000000.0,25539092.27,3720.730226,3.720730226,Glass Furnace
1990.0,3566.0,325.0,STEEL ROLLERS,6600.0,259979.0,86833.0,91600000000000.0,25448240.24,3855.793975,3.855793975,Vehicle Manufacturing Oven
2003.0,3714.0,270.0,Radiators for medium and heavy duty trucks,6600.0,562630.0,85039.0,89700000000000.0,24922470.74,3776.13193,3.77613193,Vehicle Manufacturing Oven
1994.0,2754.0,200.0,flexible packaging for food industry,7000.0,244660.0,83827.0,88400000000000.0,24567268.6,3509.6098,3.5096098,F&D Boiler
1997.0,3069.0,250.0,"Fabricated Rubber Products, Base boards, floor tile",6000.0,304823.0,83633.0,88200000000000.0,24510412.81,4085.068802,4.085068802,Chemicals Dryer
1998.0,3321.0,320.0,Gray iron & ductile castings,5500.0,341077.0,83518.0,88100000000000.0,24476709.64,4450.310843,4.450310843,Vehicle Manufacturing Oven
2023.0,3411.0,175.0,Metal Cans,8568.0,526728.4,83504.0,88100000000000.0,24472606.64,2856.279954,2.856279954,Chemicals Dryer
1988.0,2816.0,61.0,INORGANIC PIGMENTS,7200.0,383905.0,83373.0,88000000000000.0,24434214.33,3393.64088,3.39364088,Ceramics Kiln
2002.0,2653.0,250.0,"Corrugated shipping containers, paper coating, signs and displays",6977.0,528287.0,83240.0,87800000000000.0,24395235.88,3496.52227,3.49652227,Vehicle Manufacturing Oven
1991.0,3312.0,390.0,ELECTRIC WELDED TUBING,5800.0,313886.0,80012.0,84400000000000.0,23449202.47,4042.965943,4.042965943,Vehicle Manufacturing Oven
2006.0,3315.0,55.0,Steel wire,8400.0,573692.0,78240.0,82500000000000.0,22929880.53,2729.747682,2.729747682,Vehicle Manufacturing Oven
2022.0,3714.0,450.0,Brakes,6240.0,308706.0,77905.0,82200000000000.0,22831701.72,3658.926558,3.658926558,Vehicle Manufacturing Oven
1999.0,3599.0,320.0,Machined automotive brake rotors and drums,6000.0,272505.0,77838.0,82100000000000.0,22812065.96,3802.010993,3.802010993,Vehicle Manufacturing Oven
2001.0,2891.0,500.0,Adhesives and Sealants,6600.0,316132.0,77023.0,81300000000000.0,22573213.04,3420.183794,3.420183794,Chemicals Dryer
1987.0,3363.0,266.0,ALUMINUM CASTINGS,6240.0,383355.0,76651.0,80900000000000.0,22464190.6,3600.030545,3.600030545,Vehicle Manufacturing Oven
1987.0,3363.0,266.0,ALUMINUM CASTINGS,6240.0,383355.0,76651.0,80900000000000.0,22464190.6,3600.030545,3.600030545,Vehicle Manufacturing Oven
1987.0,3363.0,266.0,ALUMINUM CASTINGS,6240.0,383355.0,76651.0,80900000000000.0,22464190.6,3600.030545,3.600030545,Vehicle Manufacturing Oven
2022.0,3466.0,135.0,Metal Closures,8400.0,265254.0,76289.0,80500000000000.0,22358098.87,2661.678437,2.661678437,Chemicals Dryer
1990.0,3463.0,157.0,TITANIUM ALLOY AIR FOILS,4900.0,218893.0,75842.0,80000000000000.0,22227096.1,4536.142062,4.536142062,Vehicle Manufacturing Oven
1994.0,3411.0,86.0,aluminum beverage can,8300.0,251437.0,73952.0,78000000000000.0,21673191.78,2611.227925,2.611227925,F&D Boiler
2006.0,3096.0,700.0,"Rubber, Plastic and Thermoplastic components",6468.0,750536.0,73233.0,77300000000000.0,21462473.68,3318.255053,3.318255053,Chemicals Dryer
2007.0,3940.0,295.0,Bi-Metallic Bushings and Thrust Washers,6600.0,970112.0,72998.0,77000000000000.0,21393601.98,3241.454846,3.241454846,Vehicle Manufacturing Oven
1985.0,3363.0,100.0,ALUMINUM DIE CASTINGS,6000.0,336370.0,72472.0,76500000000000.0,21239446.6,3539.907766,3.539907766,Vehicle Manufacturing Oven
1985.0,3363.0,100.0,ALUMINUM DIE CASTINGS,6000.0,336370.0,72472.0,76500000000000.0,21239446.6,3539.907766,3.539907766,Vehicle Manufacturing Oven
2018.0,3365.0,368.0,Cast Metal,7956.0,370561.0,71089.0,75000000000000.0,20834129.31,2618.668842,2.618668842,Chemicals Dryer
1996.0,3412.0,175.0,reconditioned drums,3200.0,247800.0,70793.0,74700000000000.0,20747380.27,6483.556335,6.483556335,Vehicle Manufacturing Oven
1999.0,3363.0,135.0,aluminum die castings,7344.0,236181.0,70307.0,74200000000000.0,20604947.73,2805.684604,2.805684604,Vehicle Manufacturing Oven
1999.0,3363.0,135.0,aluminum die castings,7344.0,236181.0,70307.0,74200000000000.0,20604947.73,2805.684604,2.805684604,Vehicle Manufacturing Oven
1997.0,3089.0,200.0,Fabricated Rubber Products,3000.0,268483.0,70273.0,74100000000000.0,20594983.31,6864.994438,6.864994438,Chemicals Dryer
1985.0,2841.0,280.0,"SOAP PADS,FABRIC SOFTENER",6240.0,385232.0,69706.0,73500000000000.0,20428812.02,3273.84808,3.27384808,Chemicals Dryer
2011.0,2026.0,180.0,"Fluid Milk, Beverage, and Culture",8760.0,580330.0,69572.0,73400000000000.0,20389540.49,2327.573116,2.327573116,F&D Boiler
1997.0,3365.0,170.0,aluminum castings,6000.0,270320.0,69282.0,73100000000000.0,20304549.88,3384.091647,3.384091647,Vehicle Manufacturing Oven
2012.0,3061.0,450.0,rubber vibration isolation,8400.0,337193.0,68728.0,72500000000000.0,20142188.51,2397.879585,2.397879585,Chemicals Dryer
2007.0,3363.0,300.0,Zinc and Aluminum Die Casting,5880.0,723139.0,68096.0,71800000000000.0,19956967.59,3394.042108,3.394042108,Vehicle Manufacturing Oven
1999.0,3321.0,150.0,ferrous alloy and aluminum castings,6600.0,237129.0,67823.0,71600000000000.0,19876959.19,3011.660484,3.011660484,Vehicle Manufacturing Oven
1991.0,3561.0,436.0,PROGRESSIVE CAVITY PUMPS,8300.0,220104.0,67768.0,71500000000000.0,19860840.28,2392.872323,2.392872323,Vehicle Manufacturing Oven
2000.0,2096.0,75.0,Food products,3120.0,242980.0,67682.0,71400000000000.0,19835636.17,6357.575696,6.357575696,F&D Boiler
2000.0,2096.0,75.0,Food products,3120.0,242980.0,67682.0,71400000000000.0,19835636.17,6357.575696,6.357575696,F&D Boiler
1998.0,3315.0,210.0,"Wire ,cold drawn and hot rolled steel, spring, coiling and f",8736.0,274316.0,67355.0,71100000000000.0,19739801.93,2259.592712,2.259592712,Vehicle Manufacturing Oven
2009.0,3069.0,80.0,Rubber Flooring,2500.0,666469.0,65146.0,68700000000000.0,19092407.94,7636.963175,7.636963175,Chemicals Dryer
2001.0,3052.0,263.0,Rubber Products,6360.0,378567.0,64741.0,68300000000000.0,18973714.15,2983.288389,2.983288389,Chemicals Dryer
2007.0,3792.0,400.0,Laminated fiberglass Truck caps and lids,5100.0,697454.0,64614.0,68200000000000.0,18936494.13,3713.038064,3.713038064,Glass Furnace
1997.0,3365.0,212.0,Aluminum Castings,3000.0,354752.0,64058.0,67600000000000.0,18773546.61,6257.848871,6.257848871,Vehicle Manufacturing Oven
1997.0,3365.0,212.0,Aluminum Castings,3000.0,354752.0,64058.0,67600000000000.0,18773546.61,6257.848871,6.257848871,Vehicle Manufacturing Oven
1997.0,3365.0,212.0,Aluminum Castings,3000.0,354752.0,64058.0,67600000000000.0,18773546.61,6257.848871,6.257848871,Vehicle Manufacturing Oven
2020.0,2026.0,133.0,"Diary (Milk, Cheese, Sour Cream)",8760.0,288157.0,64029.0,67600000000000.0,18765047.55,2142.128716,2.142128716,F&D Boiler
2015.0,3229.0,88.0,Glass Tubes,8232.0,273646.0,63936.0,67500000000000.0,18737791.94,2276.213793,2.276213793,Glass Furnace
2004.0,3471.0,115.0,plating,6000.0,439200.0,62051.0,65500000000000.0,18185352.98,3030.892163,3.030892163,Vehicle Manufacturing Oven
1993.0,2657.0,170.0,Printed beverage cartons,8400.0,304285.0,61767.0,65200000000000.0,18102120.79,2155.01438,2.15501438,F&D Boiler
2005.0,2951.0,50.0,Asphalt Products,3432.0,378070.0,59980.0,63300000000000.0,17578402.79,5121.912235,5.121912235,Chemicals Dryer
2019.0,3694.0,795.0,Automotive Alternators and Starter Motors,7200.0,320093.0,58173.0,61400000000000.0,17048823.37,2367.892134,2.367892134,Vehicle Manufacturing Oven
2003.0,2378.0,296.0,Aircraft propellers,8400.0,66594.0,56857.0,60000000000000.0,16663141.84,1983.707362,1.983707362,Vehicle Manufacturing Oven
2006.0,2869.0,84.0,Specialty Organic/Inorganic Chemicals,7200.0,570011.0,56617.0,59700000000000.0,16592804.78,2304.556219,2.304556219,Chemicals Dryer
2020.0,2834.0,564.0,"Vivitrol, Aristada, Risperdal Consta, and Polymer",8064.0,246349.0,56388.0,59500000000000.0,16525691.5,2049.316903,2.049316903,Chemicals Dryer
2020.0,2026.0,145.0,"Milk, Cottage Cheese, Sour Cream, Yogurts, Beverages",8760.0,247589.0,56000.0,59100000000000.0,16411979.93,1873.513691,1.873513691,F&D Boiler
2008.0,3412.0,66.0,Steel drums,4000.0,535493.0,55818.0,58900000000000.0,16358640.99,4089.660249,4.089660249,Vehicle Manufacturing Oven
2001.0,3499.0,110.0,Metal burial vaults and steel coil processing,3000.0,346322.0,54927.0,58000000000000.0,16097514.67,5365.838224,5.365838224,Vehicle Manufacturing Oven
2000.0,2087.0,120.0,flavoring extracts and syrups,6732.0,199088.0,54671.0,57700000000000.0,16022488.48,2380.048793,2.380048793,F&D Boiler
2020.0,2024.0,185.0,Ice Cream and Beverages,8112.0,175109.0,54397.0,57400000000000.0,15942187.0,1965.259739,1.965259739,F&D Boiler
2020.0,2024.0,185.0,Ice Cream and Beverages,8112.0,175109.0,54397.0,57400000000000.0,15942187.0,1965.259739,1.965259739,F&D Boiler
1985.0,2099.0,239.0,VEG PROTEIN FOODS,4992.0,299958.0,53825.0,56800000000000.0,15774550.35,3159.966016,3.159966016,F&D Boiler
2015.0,2051.0,110.0,Buns,6240.0,309764.0,53074.0,56000000000000.0,15554453.98,2492.700958,2.492700958,F&D Boiler
1995.0,3412.0,88.0,"storage drums, kegs",4500.0,165000.0,52678.0,55600000000000.0,15438397.83,3430.755074,3.430755074,Vehicle Manufacturing Oven
2020.0,2672.0,100.0,Coated and Laminated Paper,6000.0,260860.0,52462.0,55400000000000.0,15375094.48,2562.515747,2.562515747,Chemicals Dryer
2015.0,3561.0,250.0,Pumps,8760.0,265325.0,52190.0,55100000000000.0,15295379.15,1746.047848,1.746047848,Vehicle Manufacturing Oven
2015.0,3561.0,250.0,Pumps,8760.0,265325.0,52190.0,55100000000000.0,15295379.15,1746.047848,1.746047848,Vehicle Manufacturing Oven
1992.0,3499.0,122.0,STEEL PROCESSING,6000.0,213073.0,50992.0,53800000000000.0,14944280.01,2490.713335,2.490713335,Vehicle Manufacturing Oven
2015.0,3714.0,474.0,Automotive Steering Components and CVT Transmission Parts,5880.0,291211.0,50670.0,53500000000000.0,14849911.13,2525.495089,2.525495089,Vehicle Manufacturing Oven
2015.0,3714.0,474.0,Automotive Steering Components and CVT Transmission Parts,5880.0,291211.0,50670.0,53500000000000.0,14849911.13,2525.495089,2.525495089,Vehicle Manufacturing Oven
2000.0,2841.0,350.0,Custom bar soap products,6732.0,167223.0,50442.0,53200000000000.0,14783090.92,2195.943393,2.195943393,Chemicals Dryer
2010.0,5084.0,550.0,Industrial and IT Enclosures,6912.0,558796.0,50114.0,52900000000000.0,14686963.61,2124.850059,2.124850059,Vehicle Manufacturing Oven
2006.0,3542.0,485.0,Mechanical Metal Forming Presses,7488.0,436165.0,50028.0,52800000000000.0,14661759.5,1958.034121,1.958034121,Vehicle Manufacturing Oven
2011.0,3555.0,640.0,High Speed Inkjet Printing Systems,6000.0,560341.0,49507.0,52200000000000.0,14509069.47,2418.178245,2.418178245,Ceramics Kiln
1984.0,2891.0,360.0,"ADHESIVE,CAULKS",8600.0,269115.0,49009.0,51700000000000.0,14363120.08,1670.130242,1.670130242,Chemicals Dryer
2019.0,3714.0,866.0,Steering Wheels and Injection Molds,6000.0,257700.0,48689.0,51400000000000.0,14269337.34,2378.222889,2.378222889,Vehicle Manufacturing Oven
1984.0,2079.0,168.0,"MARGARINE, SHORTENING",2600.0,279115.0,48317.0,51000000000000.0,14160314.9,5446.274961,5.446274961,F&D Boiler
2009.0,3462.0,148.0,Warm/cold forgings with machining,6000.0,519579.0,48281.0,50900000000000.0,14149764.34,2358.294056,2.358294056,Vehicle Manufacturing Oven
1994.0,3412.0,100.0,reconditioned steel drums,4500.0,121805.0,47725.0,50400000000000.0,13986816.82,3108.181516,3.108181516,Vehicle Manufacturing Oven
1995.0,3297.0,150.0,"non-clay brick, special shaped refractories",6000.0,190040.0,47510.0,50100000000000.0,13923806.54,2320.634424,2.320634424,Ceramics Kiln
